1	2
2	3
3	1
4	2
5	2
6	1
7	3
8	3
9	3
10	3
11	3
12	1
13	3
14	2
15	1
16	2
17	3
18	3
19	2
20	3
21	1
22	3
23	3
24	3
25	3
26	2
27	2
28	3
29	2
30	3
31	3
32	3
33	3
34	3
35	3
36	3
37	2
38	3
39	3
40	1
41	3
42	3
43	1
44	2
45	2
46	1
47	3
48	1
49	3
50	2
51	3
52	1
53	3
54	3
55	3
56	3
57	2
58	3
59	3
60	3
61	2
62	3
63	2
64	3
65	1
66	3
67	3
68	3
69	3
70	3
71	1
72	3
73	3
74	3
75	3
76	3
77	3
78	3
79	2
80	3
81	3
82	3
83	2
84	1
85	3
86	2
87	3
88	3
89	3
90	2
91	3
92	2
93	3
94	3
95	2
96	3
97	3
98	3
99	3
100	3
101	2
102	3
103	3
104	3
105	1
106	3
107	3
108	1
109	3
110	3
111	3
112	1
113	1
114	3
115	3
116	2
117	3
118	2
119	1
120	3
121	3
122	1
123	3
124	3
125	3
126	3
127	1
128	3
129	2
130	1
131	3
132	3
133	3
134	2
135	3
136	3
137	3
138	3
139	2
140	3
141	3
142	2
143	3
144	3
145	1
146	2
147	2
148	3
149	3
150	3
Jaccard Coefficient: 0.4839909443725744
Rand Index: 0.7163555555555555
